toi,tic,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,vmag,jmag,nobs,template,nobs_goal,tot_time,rem_nobs,rem_time,r_s,teff,teff_err,t_eff,f_eh,ast_det_t,ruwe,rp,rp_err,mp,period,period_err,a_to_R,sinc,rt_5sig,drop,finish
173.01,270341214,MS,qlp,VPC,-,-,-,33.4583,-80.5828,9.32,8.454,0.0,FALSE,60.0,5.16,60.0,5.16,1.47,6409.0,197.0,6680.0,,0.05,1.06,12.4,0.88,317.83,,,,91.0,1.77,FALSE,FALSE
174.01,425997655,MS,spoc,P,-,-,-,55.4599,-62.767,9.73,7.865,0.0,FALSE,60.0,6.62,60.0,6.62,0.69,4813.0,111.0,4813.0,-0.19,0.0504,1.04,2.01,0.85,5.15,17.66831,0.000607,38.1,-1.0,3.36,FALSE,FALSE
174.02,425997655,MS,spoc,P,-,-,-,55.4599,-62.767,9.73,7.865,0.0,FALSE,60.0,6.62,60.0,6.62,0.69,4813.0,111.0,4813.0,-0.19,0.0504,1.04,1.84,1.23,4.74,29.79671500000000,0.001249,53.98,12.0,5.64,FALSE,FALSE
174.03,425997655,MS,spoc,PC,-,-,-,55.4599,-62.767,9.73,7.865,0.0,FALSE,60.0,6.62,60.0,6.62,0.69,4813.0,111.0,4813.0,-0.19,0.0504,1.04,1.33,1.22,2.96,12.160999,0.000985,29.7,39.0,7.81,FALSE,FALSE
174.04,425997655,MS,spoc,CPC,-,-,-,55.4599,-62.767,9.73,7.865,0.0,FALSE,60.0,6.62,60.0,6.62,0.69,4813.0,111.0,4813.0,-0.19,0.0504,1.04,0.99,1.11,1.02,3.975995,0.00021,14.1,177.0,31.46,FALSE,FALSE
175.01,307210830,MS,spoc,P,-,-,-,124.5319,-68.313,11.685,7.933,0.0,FALSE,60.0,17.93,60.0,17.93,0.31,3469.0,68.0,3429.0,,0.05,1.13,1.37,0.2,3.3,3.690638,6E-06,21.47,47.0,6.4,FALSE,FALSE
175.02,307210830,MS,spoc,P,-,-,-,124.5319,-68.313,11.685,7.933,0.0,FALSE,60.0,17.93,60.0,17.93,0.31,3469.0,68.0,3429.0,,0.05,1.13,1.47,1.22,4.27,7.450804,2.1E-05,34.29,4.0,6.4,FALSE,FALSE
175.03,307210830,MS,spoc,VP,-,-,-,124.5319,-68.313,11.685,7.933,0.0,FALSE,60.0,17.93,60.0,17.93,0.31,3469.0,68.0,3429.0,,0.05,1.13,0.86,0.96,0.62,2.253089,7E-06,15.45,24.0,53.08,FALSE,FALSE
176.01,272086159,MS,spoc,SB2,-,-,-,115.0034,-72.2077,16.39,11.765,0.0,FALSE,60.0,32.75,60.0,32.75,0.32,3270.0,63.0,3262.0,,0.05,1.3,10.42,7.73,76.77,16.155373,0.000103,56.28,1.0,11.42,FALSE,FALSE
177.01,262530407,MS,spoc,VPC+,-,-,-,20.4391,-46.7144,11.403000000000000,8.168,0.0,FALSE,60.0,16.03,60.0,16.03,0.52,3703.0,66.0,3639.0,,0.05,1.04,2.18,0.4,5.55,2.853133,6.6E-05,13.1,42.0,5.67,FALSE,FALSE
